類・品目,持家の帰属家賃を除く総合
Group/Item,"All items, less imputed rent"
類・品目符号(Group/Item code),0163
含類総連番(Serial number),739
ウエイト(Weight),209049379
ウエイト１万分比(Weight per 10000),8146
194601,
194602,
194603,
194604,
194605,
194606,
194607,
194608,3.2
194609,2.9
194610,2.5
194611,2.6
194612,3.0
194701,3.3
194702,3.7
194703,4.0
194704,4.0
194705,5.3
194706,5.9
194707,7.3
194708,7.5
194709,8.2
194710,8.1
194711,7.7
194712,7.9
194801,8.3
194802,8.1
194803,9.0
194804,9.5
194805,9.8
194806,11.0
194807,10.8
194808,11.8
194809,12.4
194810,11.6
194811,11.7
194812,12.3
194901,13.1
194902,13.1
194903,13.5
194904,13.7
194905,14.0
194906,13.7
194907,13.1
194908,12.8
194909,13.0
194910,12.8
194911,12.5
194912,12.9
195001,13.1
195002,12.6
195003,12.3
195004,12.0
195005,12.1
195006,11.7
195007,12.0
195008,12.1
195009,12.3
195010,11.9
195011,12.1
195012,12.5
195101,13.2
195102,13.8
195103,14.1
195104,14.2
195105,14.1
195106,14.0
195107,13.8
195108,14.3
195109,14.5
195110,14.6
195111,14.7
195112,14.7
195201,14.8
195202,14.8
195203,14.9
195204,14.9
195205,14.7
195206,14.6
195207,14.8
195208,14.8
195209,14.7
195210,14.7
195211,14.7
195212,14.7
195301,15.1
195302,15.2
195303,15.2
195304,15.5
195305,15.5
195306,15.7
195307,15.9
195308,15.9
195309,16.2
195310,16.9
195311,16.6
195312,16.6
195401,16.8
195402,16.8
195403,16.8
195404,16.8
195405,16.8
195406,16.8
195407,16.9
195408,16.6
195409,16.6
195410,16.9
195411,16.6
195412,16.4
195501,16.5
195502,16.5
195503,16.4
195504,16.7
195505,16.6
195506,16.4
195507,16.3
195508,16.3
195509,16.5
195510,16.6
195511,16.5
195512,16.4
195601,16.4
195602,16.6
195603,16.6
195604,16.6
195605,16.6
195606,16.8
195607,16.3
195608,16.6
195609,16.7
195610,16.9
195611,16.7
195612,16.8
195701,16.9
195702,16.8
195703,16.8
195704,17.0
195705,17.2
195706,17.3
195707,17.3
195708,17.3
195709,17.3
195710,17.3
195711,17.1
195712,17.1
195801,17.1
195802,17.1
195803,16.9
195804,17.1
195805,17.1
195806,17.3
195807,17.2
195808,17.3
195809,17.3
195810,17.9
195811,17.6
195812,17.5
195901,17.4
195902,17.3
195903,17.3
195904,17.4
195905,17.3
195906,17.3
195907,17.3
195908,17.7
195909,17.5
195910,17.8
195911,17.8
195912,17.9
196001,17.9
196002,18.0
196003,18.0
196004,18.1
196005,18.2
196006,18.2
196007,18.1
196008,18.4
196009,18.4
196010,18.4
196011,18.2
196012,18.3
196101,18.5
196102,18.6
196103,18.7
196104,18.9
196105,18.7
196106,19.0
196107,19.1
196108,19.3
196109,19.4
196110,19.8
196111,19.8
196112,19.9
196201,20.1
196202,20.0
196203,20.1
196204,20.3
196205,20.6
196206,20.6
196207,20.7
196208,20.4
196209,20.2
196210,20.7
